"PIN","age","sex","sexOrient","sexOrientText","gender","genderText","relStat","relStatText","raceAAPI","raceBlack","raceLatinx","raceNAAI","raceMENA","raceWhite","raceNA","religion","politics","international","poliDQVC","poliDQMC","poliDQSC","poliDQCent","poliDQSL","poliDQML","poliDQVL","ageDQ18","ageDQ19","ageDQ20","ageDQ21","ageDQ22","ageDQ23_25","ageDQ26plus","raceDQAAPI","raceDQBlack","raceDQLatinx","raceDQNAAI","raceDQMENA","raceDQWhite","religionDQ1","religionDQ2","religionDQ3","religionDQ4","religionDQ5","religionDQ6","religionDQ7","religionDQ8","religionDQ9","religionDQ10","religionDQ11","internationalDQDom","internationalDQInt","idealAffectionComp","idealAmbitionComp","idealArtisticComp","idealDispositionComp","idealFamilyComp","idealHealthComp","idealHumorComp","idealIntelligentComp","idealKindComp","idealParentingComp","idealPhysattComp","idealReligiousComp","idealResourcesComp","idealSexyComp","idealStatusComp","selfAffectionateComp","selfAmbitionComp","selfArtisticComp","selfDispositionComp","selfFamilyComp","selfHealthComp","selfHumorComp","selfIntelligentComp","selfKindComp","selfParentingComp","selfPhysattComp","selfReligiousComp","selfResourcesComp","selfSexyComp","selfStatusComp","quarter"
"f24625476",18,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,9,5,0,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,6,6.5,6,6.5,5,6,8.5,6.5,8.5,6,8.5,4.5,7.5,6.5,6,8,8.5,7,7,8.5,7,8.5,7,7.5,5,9.5,4,8.5,7.5,8,"fall"
"f24465432",21,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,10,6,0,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,7.5,5,5,6.5,6.5,8,7.5,6,7.5,7.5,6,1,5.5,6,6.5,9.5,5,6,4.5,7.5,6.5,7,6.5,8,8.5,6,0,5.5,6.5,6,"fall"
"f24816868",19,1,3,NA,1,"",1,"",NA,NA,NA,NA,NA,1,NA,10,6,0,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,6.5,6.5,6.5,5.5,7,7,7.5,7,7,6.5,10,0,7,8.5,6,5,6,2,5,7,7,6,6,5,4.5,5.5,0.5,6,5.5,5.5,"fall"
"f24509566",18,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,2,4,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,10,10,6,10,9.5,10,10,10,10,10,10,8.5,10,6.5,9.5,10,10,7.5,10,9.5,10,8.5,8.5,10,10,9.5,10,9.5,7.5,7.5,"fall"
"f24466307",19,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,11,3,0,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,7,10,3.5,5.5,5,7.5,6.5,9,8,9,5,5,5,5,6,6,10,7.5,10,5.5,9,8.5,7,7.5,7,10,1,7.5,6.5,5.5,"fall"
"f24534244",20,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,10,6,0,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,8.5,7,4,6,6,7,5.5,7,7,7.5,7,0,8.5,7.5,6.5,7.5,8.5,4,8,6.5,6,6,8,7,7,6,0,8,8,7,"fall"
"f24644935",19,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,12,6,0,NA,NA,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,6.5,7,5,7.5,7,7.5,8.5,8.5,9,7.5,7,1.5,8,6.5,7,7,8,7.5,7.5,8,7,9,7,8,5,6.5,0.5,5.5,5.5,7.5,"fall"
"f24142694",20,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,1,6,1,NA,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,9,8.5,7,8.5,8,9,8.5,8.5,9,8.5,7,7.5,8.5,7.5,9,9,6.5,5,8,9,6,8,6,7,8.5,5,7,6.5,5,6,"fall"
"f24529642",19,0,1,NA,0,"",1,"",1,1,NA,NA,NA,NA,NA,11,7,0,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,6,7,5,6.5,5,5,8.5,6.5,7,5,6.5,0,5,5,5.5,3,8,3,5.5,3,2.5,9.5,7,8,5,6.5,0,4.5,5,7,"fall"
"f2477146",18,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,11,6,0,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,4.5,5,7,7,7.5,7.5,6.5,8.5,6,1.5,6,5.5,8,7.5,6.5,4,5.5,8.5,6.5,7,6,6.5,8.5,7,0.5,6,6.5,6.5,"fall"
