"sex","sex_4_TEXT","relStat","dateAffectionate1","dateAffectionate2","dateAmbition1","dateAmbition2","dateArtistic1","dateArtistic2","dateDisposition1","dateDisposition2","dateFamily1","dateFamily2","dateHealth1","dateHealth2","dateHumor1","dateHumor2","dateIntelligent1","dateIntelligent2","dateKind1","dateKind2","dateParenting1","dateParenting2","datePhysatt1","datePhysatt2","dateReligious1","dateReligious2","dateResources1","dateResources2","dateSexy1","dateSexy2","dateStatus1","dateStatus2","selfAffectionate1","selfAffectionate2","selfAmbition1","selfAmbition2","selfArtistic1","selfArtistic2","selfDisposition1","selfDisposition2","selfFamily1","selfFamily2","selfHealth1","selfHealth2","selfHumor1","selfHumor2","selfIntelligent1","selfIntelligent2","selfKind1","selfKind2","selfParenting1","selfParenting2","selfPhysatt1","selfPhysatt2","selfReligious1","selfReligious2","selfResources1","selfResources2","selfSexy1","selfSexy2","selfStatus1","selfStatus2","idealAffection1","idealAffection2","idealAmbition1","idealAmbition2","idealArtistic1","idealArtistic2","idealDisposition1","idealDisposition2","idealFamily1","idealFamily2","idealHealth1","idealHealth2","idealHumor1","idealHumor2","idealIntelligent1","idealIntelligent2","idealKind1","idealKind2","idealParenting1","idealParenting2","idealPhysatt1","idealPhysatt2","idealReligious1","idealReligious2","idealResources1","idealResources2","idealSexy1","idealSexy2","idealStatus1","idealStatus2","ltAttraction","stAttraction","dateInterest","ltAttractionDate","stAttractionDate","dateInterestDate","contactExchange","prevContactExchange","prevContactExchange_1_TEXT","noExchange.","prevKnown","prevKnown_7_TEXT","similarity2.","similarity1","cardUse","openEndedEval","c","p","quarter","PIN","mPIN","dateAffectionateComp","dateAmbitionComp","dateArtisticComp","dateDispositionComp","dateFamilyComp","dateHealthComp","dateHumorComp","dateIntelligentComp","dateKindComp","dateParentingComp","datePhysattComp","dateReligiousComp","dateResourcesComp","dateSexyComp","dateStatusComp","selfAffectionateComp","selfAmbitionComp","selfArtisticComp","selfDispositionComp","selfFamilyComp","selfHealthComp","selfHumorComp","selfIntelligentComp","selfKindComp","selfParentingComp","selfPhysattComp","selfReligiousComp","selfResourcesComp","selfSexyComp","selfStatusComp","idealAffectionComp","idealAmbitionComp","idealArtisticComp","idealDispositionComp","idealFamilyComp","idealHealthComp","idealHumorComp","idealIntelligentComp","idealKindComp","idealParentingComp","idealPhysattComp","idealReligiousComp","idealResourcesComp","idealSexyComp","idealStatusComp","mateAffectionateComp","mateAmbitionComp","mateArtisticComp","mateDispositionComp","mateFamilyComp","mateHealthComp","mateHumorComp","mateIntelligentComp","mateKindComp","mateParentingComp","matePhysattComp","mateReligiousComp","mateResourcesComp","mateSexyComp","mateStatusComp"
1,"",1,4,6,7,7,9,10,6,5,7,7,5,3,7,5,6,7,7,8,6,6,6,4,5,7,8,8,2,3,6,6,8,5,7,7,2,4,6,6,6,4,7,6,7,7,5,6,7,6,9,6,6,4,6,7,6,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,3,6,5,5,5,6,5,5,3,4,4,3,3,1,2,"","","1","",5,5,1,"I loved talking to her! She was super nice, and was pretty funny honestly. We had some similar interests and didn't really struggle on finding things to talk about. She's very pretty and has a nice smile! ","s","f24845585_f24708573","fall","f24845585","f24708573",5,7,9.5,5.5,7,4,6,6.5,7.5,6,5,6,8,2.5,6,6.5,7,3,6,5,6.5,7,5.5,6.5,7.5,5,6.5,6.5,7,6,5,5,5,5,5,5,5,5,5,5.5,5,4,5.5,5,5.5,6,3.5,7,6.5,7,5,8,6,6.5,6,5,0,6,5,5
0,"",0,5,5,5,5,3,4,6,5,5,5,7,8,6,5,7,5,5,6,5,5,6,6,5,5,6,7,5,5,6,5,5,7,4,3,7,7,7,6,6,8,5,5,10,6,5,7,6,7,6,6,5,5,0,0,4,8,5,5,5,5,6,6,5,5,7,7,6,5,6,6,5,5,6,7,7,6,6,6,6,6,5,5,0,0,5,7,5,5,5,5,2,2,4,2,2,3,1,2,"","","1","",6,6,2,"Was very nice! But I feel like it's also important to take into account dietary choices. My date is a fantastic person but unfortunately he's vegetarian and I am not interested in dating someone who is vegetarian.","s","f24708573_f24845585","fall","f24708573","f24845585",5,5,3.5,5.5,5,7.5,5.5,6,5.5,5,6,5,6.5,5,5.5,6,3.5,7,6.5,7,5,8,6,6.5,6,5,0,6,5,5,6,5,7,5.5,6,5,6.5,6.5,6,6,5,0,6,5,5,6.5,7,3,6,5,6.5,7,5.5,6.5,7.5,5,6.5,6.5,7,6
0,"",0,6,5,8,8,9,9,8,8,5,7,7,8,5,6,8,8,6,6,5,5,6,6,2,1,5,8,5,5,5,5,8,8,8,8,5,6,7,5,8,10,8,9,8,7,6,5,6,7,2,5,5,5,2,0,5,8,5,5,5,7,8,8,8,8,5,6,8,7,8,8,8,8,7,7,8,7,8,8,5,7,7,6,5,5,8,8,6,7,6,7,2,2,1,1,1,2,1,2,"","","1","",5,5,5,"It was fun and good to meet someone new. I would enjoy being friends with this person. ","s","f24917799_f24528591","fall","f24917799","f24528591",5.5,8,9,8,6,7.5,5.5,8,6,5,6,1.5,6.5,5,5,8,8,5.5,6,9,8.5,7.5,5.5,6.5,3.5,5,1,6.5,5,6,8,8,5.5,7.5,8,8,7,7.5,8,6,6.5,5,8,6.5,6.5,4.5,7,7,6.5,6,6,6,6,5.5,3,6,1.5,6,4.5,5.5
1,"",0,5,5,6,6,4,4,5,4,3,5,7,7,4,3,5,5,5,5,3,3,6,5,2,2,5,6,5,5,6,6,5,4,7,7,7,7,6,7,5,7,6,6,6,6,8,4,5,6,3,3,7,5,2,1,5,7,5,4,6,5,7,5,7,7,5,6,6,5,5,5,6,6,6,6,7,6,6,6,5,5,8,6,2,2,5,6,5,5,6,6,3,3,4,2,2,3,1,2,"","","1","",3,3,3,"I feel like the conversation was a lot more genuine/enjoyable when we finished getting through the cards, otherwise it felt really icebreaker-y. Other than that, I think we'd just be the type of good friends that say hi to each other when we see each other but dont hang out often. Maybe it has to do with setting? I wonder if I would have to meet someone at a party or different social setting to see them in a romantic light.","s","f24528591_f24917799","fall","f24528591","f24917799",5,6,4,4.5,4,7,3.5,5,5,3,5.5,2,5.5,5,6,4.5,7,7,6.5,6,6,6,6,5.5,3,6,1.5,6,4.5,5.5,6,7,5.5,5.5,5,6,6,6.5,6,5,7,2,5.5,5,6,8,8,5.5,6,9,8.5,7.5,5.5,6.5,3.5,5,1,6.5,5,6
1,"",0,6,6,7,7,7,7,7,7,7,7,8,7,5,5,9,8,7,7,7,6,7,7,5,5,8,6,5,5,8,8,6,5,6,6,2,3,6,5,6,7,3,4,9,6,7,7,8,8,3,7,6,5,4,4,7,7,4,5,6,6,7,6,8,7,7,7,8,6,6,6,7,7,7,8,8,8,7,9,2,4,5,5,4,4,8,7,5,5,7,7,4,1,1,2,1,1,0,2,"","I think she is really cool, but our studies don't overlap that much so I wouldn't want to take things further.","1","",3,5,1,"She asked most questions to start conversation. I think I gave long winded explanations with some stories I thought were relevant. Since we didn't use the cards I was curious what they have on them.","r","f24331064_f24432246","fall","f24331064","f24432246",6,7,7,7,7,7.5,5,8.5,7,6.5,7,5,7,5,8,5.5,6,2.5,5.5,6.5,3.5,7.5,7,8,5,5.5,4,7,4.5,6,6.5,7.5,7,7,6,7,7.5,8,8,3,5,4,7.5,5,7,5.5,7,4.5,7,6.5,6,7.5,7.5,8,5,6,1,7.5,5,6.5
0,"",0,5,4,8,8,6,5,5,5,5,5,5,5,4,4,8,7,5,6,5,5,4,4,5,5,5,8,2,4,5,5,6,5,7,7,4,5,7,7,6,7,6,6,8,7,7,8,8,8,5,5,6,6,1,1,8,7,5,5,7,6,6,5,7,7,5,6,6,6,6,6,7,6,8,8,6,6,8,7,5,5,6,6,1,1,7,7,6,6,7,7,2,1,2,3,2,4,0,2,"","I don't think I would have been naturally drawn to this person and we don't really seem to have much in common. ","1","",3,2,1,"It was overall a pleasant experience. I definitely led the conversation and asked most of the questions and he would occasionally return questions to me. I would have liked him to ask me more about my own interests. He was overall very nice but I don't think that would would naturally cross paths or be drawn to each other. There were some awkward pauses that I mostly made an attempt to fill but overall it was an interesting experience. Turns out one of his friends is an acquaintance of mine!","r","f24432246_f24331064","fall","f24432246","f24331064",4.5,8,5.5,5,5,5,4,7.5,5.5,5,4,5,6.5,3,5,5.5,7,4.5,7,6.5,6,7.5,7.5,8,5,6,1,7.5,5,6.5,5.5,7,5.5,6,6,6.5,8,6,7.5,5,6,1,7,6,7,5.5,6,2.5,5.5,6.5,3.5,7.5,7,8,5,5.5,4,7,4.5,6
0,"",0,3,3,5,5,4,4,5,6,5,6,5,5,2,2,5,7,4,6,7,5,2,3,2,2,6,5,2,3,5,5,3,3,7,7,6,6,6,5,4,4,8,8,7,7,7,7,5,5,5,6,6,6,1,1,5,5,4,4,6,6,5,4,7,6,5,5,6,6,5,4,6,6,8,8,6,6,7,8,6,5,6,7,1,1,5,6,6,5,6,6,1,1,1,1,1,1,0,2,"","He was very nice but I don't think we would necessarily be friends! I think our beliefs were pretty similar but our personalities didn't really line up","1","",5,5,5,"He was very nice but I do not really see compatibility for us romantically. I feel like he was a little bit more shy which is fine because I could talk to a brick wall. We clearly were very similar people based on our values but I just don't think he has a silly personality and I am a silly person so I don't think we would have the most fun together. It was a fine date experience but it just felt like I was getting to know a friend!","r","f24428004_f24736838","fall","f24428004","f24736838",3,5,4,5.5,5.5,5,2,6,5,6,2.5,2,5.5,2.5,5,3,7,6,5.5,4,8,7,7,5,5.5,6,1,5,4,6,4.5,6.5,5,6,4.5,6,8,6,7.5,5.5,6.5,1,5.5,5.5,6,4.5,7,4,8.5,5.5,8,3.5,7.5,5,6.5,3,0,8,1.5,7.5
1,"",0,5,5,8,7,5,5,5,8,5,6,10,10,7,4,7,6,6,7,10,6,8,8,0,0,5,5,5,4,7,7,4,5,7,7,4,4,8,9,4,7,8,8,2,5,8,7,6,4,8,5,3,3,0,0,10,6,3,0,7,8,6,6,7,7,5,5,8,5,7,6,7,7,5,7,8,6,7,6,5,5,7,5,0,0,10,5,3,0,7,7,3,1,3,1,1,4,1,2,"","","1","",6,6,5,"It is really difficult to judge someone based off of 35 minutes of conversation. I think we were suitably matched in theory. Personally there wasn't any kind of obvious reason why they would make an ideal partner.
I'm not sure I could make any sort of judgment with such little time spent getting to know someone, particularly given that I don't experience sexual attraction.","r","f24736838_f24428004","fall","f24736838","f24428004",5,7.5,5,6.5,5.5,10,5.5,6.5,6.5,8,8,0,5,4.5,7,4.5,7,4,8.5,5.5,8,3.5,7.5,5,6.5,3,0,8,1.5,7.5,6,7,5,6.5,6.5,7,6,7,6.5,5,6,0,7.5,1.5,7,3,7,6,5.5,4,8,7,7,5,5.5,6,1,5,4,6
0,"",0,5,5,6,6,6,6,7,7,3,4,7,6,5,5,5,5,6,6,3,4,5,7,0,0,4,6,6,6,5,5,6,10,9,10,3,6,6,6,4,5,8,8,9,5,9,8,9,8,5,5,5,7,1,0,7,8,6,6,5,6,6,8,9,8,5,7,6,9,5,5,7,7,5,5,8,6,8,8,5,5,5,8,1,0,6,5,6,6,5,5,4,5,5,3,3,4,1,2,"","","1","",5,6,5,"I thought he was a very good match based on the responses that I originally gave in the survey, he seemed to share a lot of the same values and ideas. As we were going through the cards I was beginning to tell that his responses were very close to mine on certain things. I liked that we were able to connect over these. Overall I think the date went really well and he seemed to have almost everything I was looking for! The date was obviously a little short though and we mostly went off the cards except for a few topics. He seemed like a really genuine person and id be interested in getting to know him more since this was just surface level. ","r","f24396610_f24901138","fall","f24396610","f24901138",5,6,6,7,3.5,6.5,5,5,6,3.5,6,0,5,6,5,8,9.5,4.5,6,4.5,8,7,8.5,8.5,5,6,0.5,7.5,6,5.5,7,8.5,6,7.5,5,7,5,7,8,5,6.5,0.5,5.5,6,5,6,6,6,4,8,8.5,5.5,5,6.5,6,6,1.5,5.5,7,4.5
1,"",0,5,5,9,9,1,3,7,6,4,4,8,6,6,5,8,9,7,6,6,5,8,7,0,0,10,8,4,5,8,6,6,6,7,5,5,7,3,5,8,8,8,9,5,6,5,5,5,8,6,6,4,8,2,1,5,6,6,8,5,4,7,6,7,7,5,5,9,5,5,5,6,7,7,7,7,6,6,7,6,7,7,9,3,1,6,5,7,8,5,5,6,6,7,4,4,5,1,2,"","","1","",5,4,5,"I think we connected well, we were able to have conversations from the cards that branched out beyond the immediate question. I think the fact that we did not get through all the cards within our time limit is a good thing, as we had steady conversations going for a long time. I found her attractive, however my only slight concern is our age gap, as I am 21 and a junior and she is 18 and a freshman, which is outside of my ideal age range (2 years up or down from my own). I think she is a very intelligent and well-rounded person from the little bit I got to know her from, and I would be interested in getting to know her further. I think we both had positive attitudes during the date and it felt like we were both happy to be here.","r","f24901138_f24396610","fall","f24901138","f24396610",5,9,2,6.5,4,7,5.5,8.5,6.5,5.5,7.5,0,9,4.5,7,6,6,6,4,8,8.5,5.5,5,6.5,6,6,1.5,5.5,7,4.5,6.5,7,5,7,5,6.5,7,6.5,6.5,6.5,8,2,5.5,7.5,5,8,9.5,4.5,6,4.5,8,7,8.5,8.5,5,6,0.5,7.5,6,5.5
