StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,student,age,sex,sex_orient,sex_orient_4_TEXT,gender,gender_3_TEXT,relstat,relstat_5_TEXT,ltmInterest,race_1,race_2,race_3,race_4,race_5,race_6,race_8,religion,politics,international,previousParticipant ,poliDQ_1,poliDQ_2,poliDQ_3,poliDQ_4,poliDQ_5,poliDQ_6,poliDQ_7,ageDQ_1,ageDQ_2,ageDQ_3,ageDQ_4,ageDQ_5,ageDQ_6,ageDQ_7,raceDQ_1,raceDQ_2,raceDQ_3,raceDQ_4,raceDQ_5,raceDQ_6,religionDQ_1,religionDQ_2,religionDQ_3,religionDQ_4,religionDQ_5,religionDQ_6,religionDQ_7,religionDQ_8,religionDQ_9,religionDQ_10,religionDQ_11,internationalDQ_1,internationalDQ_2,idealAffection1,idealAffection2,idealAmbition1,idealAmbition2,idealArtistic1,idealArtistic2,idealDisposition1,idealDisposition2,idealFamily1,idealFamily2,idealHealth1,idealHealth2,idealHumor1,idealHumor2,idealIntelligent1,idealIntelligent2,idealKind1,idealKind2,idealParenting1,idealParenting2,idealPhysatt1,idealPhysatt2,idealReligious1,idealReligious2,idealResources1,idealResources2,idealSexy1,idealSexy2,idealStatus1,idealStatus2,selfAffectionate1,selfAffectionate2,selfAmbition1,selfAmbition2,selfArtistic1,selfArtistic2,selfDisposition1,selfDisposition2,selfFamily1,selfFamily2,selfHealth1,selfHealth2,selfHumor1,selfHumor2,selfIntelligent1,selfIntelligent2,selfKind1,selfKind2,selfParenting1,selfParenting2,selfPhysatt1,selfPhysatt2,selfReligious1,selfReligious2,selfResources1,selfResources2,selfSexy1,selfSexy2,selfStatus1,selfStatus2,p
1/6/2025 10:12,1/6/2025 10:18,0,104.28.85.215,100,336,1,1/6/2025 10:18,R_7AKLYGZ2gmkaAWt,,,,,34.4272,-119.7059,qr,EN,1,18,0,2,,0,,1,,1,1,,,,,,,10,6,0,1,,,,,1,1,1,1,1,,,,,,1,1,1,1,1,1,,,,,,,,1,1,1,,1,,6,11,8,7,6,7,6,6,7,7,7,6,7,6,7,7,6,7,2,3,6,6,1,1,6,7,6,6,6,6,6,11,8,9,7,6,6,6,7,5,7,6,7,6,7,7,6,6,2,4,5,5,1,1,6,7,6,7,6,6,f2463856
1/6/2025 10:28,1/6/2025 10:35,0,172.56.121.155,100,417,1,1/6/2025 10:35,R_67ssntHBJEe7Qma,,,,,34.195,-118.445,qr,EN,1,18,0,3,,0,,1,,1,,,,,1,,,2,5,0,0,,,1,1,1,1,1,1,1,1,1,1,,,1,,1,,1,1,1,1,1,,,,1,,,1,1,1,,7,11,6,9,4,3,4,6,6,4,6,6,6,9,6,9,10,8,9,9,11,10,6,8,8,6,11,8,8,7,7,11,8,9,3,3,6,5,7,9,8,6,9,9,7,8,11,9,11,8,9,6,10,10,8,6,11,9,7,6,f24577972
1/6/2025 11:06,1/6/2025 11:13,0,169.231.241.162,100,435,1,1/6/2025 11:13,R_1r2m9R0aIls9fhX,,,,,34.4265,-119.8631,qr,EN,1,18,0,3,,0,,1,,1,,1,,,,,,2,4,0,0,,,1,1,1,,,1,1,1,,,,,,1,,,,,,1,,,,,,,,,,1,,11,6,10,11,4,6,10,9,11,6,6,6,11,8,7,7,11,11,11,9,8,7,10,9,6,7,6,6,7,6,8,6,9,10,7,6,8,6,10,11,6,6,11,8,7,6,10,11,11,9,7,6,10,6,5,6,11,6,7,5,f2410450
1/6/2025 10:30,1/6/2025 12:27,0,169.231.151.0,100,7023,1,1/6/2025 12:27,R_77NXtt2AMKEgRyS,,,,,34.4265,-119.8631,qr,EN,1,19,0,3,,0,,1,,1,,,,,,1,,12,2,0,0,,1,1,1,1,,,,1,1,,,,,,1,,1,,1,1,1,,,1,1,,1,1,,1,1,1,8,8,11,11,8,8,7,7,8,8,7,7,8,8,7,7,7,8,7,7,6,6,6,6,7,6,6,7,7,7,7,8,11,11,7,7,7,7,8,11,7,7,6,7,7,4,8,7,7,6,6,6,6,4,7,6,6,6,6,6,f24363334
1/6/2025 12:15,1/6/2025 12:45,0,108.147.175.47,100,1817,1,1/6/2025 12:45,R_1921PUlImC90Drr,,,,,33.8358,-117.9063,qr,EN,1,18,0,1,,0,,1,,2,,,1,,,,,2,4,0,0,,,,1,,,,1,1,1,1,1,,,1,1,1,1,1,,,1,,,,,,,,,,1,,10,9,11,11,11,11,11,9,9,10,11,7,11,9,10,10,11,11,10,11,6,9,6,6,10,10,7,6,10,8,10,10,10,11,10,10,10,10,6,6,8,6,11,6,6,6,11,11,10,11,6,6,6,6,4,6,6,6,11,10,f24496742
1/6/2025 12:17,1/6/2025 13:00,0,169.231.149.23,100,2604,1,1/6/2025 13:01,R_60LQrww4JJMKglb,,,,,34.4265,-119.8631,qr,EN,1,18,1,2,,1,,1,,1,1,,,,,,,12,5,1,0,,,,1,1,,,1,1,1,1,,,,1,,1,,,,,,,,,,,,,1,1,1,1,8,8,9,10,6,6,9,7,9,10,7,9,11,9,9,7,10,9,9,10,7,8,4,5,8,7,6,9,8,6,8,7,8,8,1,5,6,7,8,6,8,6,11,7,7,8,9,9,9,11,6,6,4,5,6,6,6,6,6,6,f24704969
1/6/2025 13:23,1/6/2025 13:35,0,174.195.86.117,100,762,1,1/6/2025 13:36,R_6UhICVruUpIdrdv,,,,,37.3698,-121.816,qr,EN,1,21,1,2,,0,,1,,1,,,,,,1,,12,7,0,0,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,8,7,8,8,7,7,5,6,7,9,7,8,9,10,10,6,9,6,10,10,11,4,3,11,11,10,8,8,10,6,7,6,6,8,8,7,6,5,5,7,8,7,7,10,8,7,9,7,7,8,8,4,5,7,7,10,8,7,7,f24653945
1/6/2025 13:31,1/6/2025 14:19,0,174.194.199.205,100,2843,1,1/6/2025 14:19,R_1zAUsJHH9OfZZvt,,,,,37.7047,-122.1245,qr,EN,1,18,0,1,,0,,1,,1,,1,,,,1,,11,6,0,0,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,1,1,1,,9,7,8,8,7,8,6,6,6,6,6,6,8,8,9,9,6,9,7,9,7,7,4,2,7,6,8,7,7,10,6,7,8,9,8,8,6,6,6,8,5,5,9,9,10,10,7,6,8,6,7,5,3,1,5,8,6,7,8,9,f24223793
1/6/2025 14:08,1/6/2025 14:32,0,172.226.7.102,100,1496,1,1/6/2025 14:32,R_7RUQg02ZUHjlJRy,,,,,34.0544,-118.2441,qr,EN,1,21,0,1,,0,,1,,1,,,,,,1,,10,7,0,1,,,,,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,9,11,10,10,6,6,8,8,6,6,6,5,7,7,9,9,7,9,9,8,9,9,3,3,8,6,10,7,8,8,9,11,10,11,6,6,8,8,9,10,4,7,9,9,9,9,8,8,9,8,8,8,1,1,8,7,8,6,9,9,f24655853
1/6/2025 15:26,1/6/2025 15:49,0,169.231.30.114,100,1392,1,1/6/2025 15:49,R_7kkZAbVjEGM0QqR,,,,,34.4265,-119.8631,qr,EN,1,21,0,3,,0,,1,,1,,,,,,,1,10,7,1,0,,,,,,1,1,,,1,1,1,1,,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,11,9,9,8,7,9,9,8,7,7,8,8,9,9,8,7,9,10,8,7,6,6,3,3,6,7,7,6,9,8,9,9,8,9,10,9,10,10,8,10,8,7,9,6,7,7,8,9,8,9,9,9,1,1,6,7,7,9,9,9,f24402331
