"PIN","age","sex","sexOrient","sexOrientText","gender","genderText","relStat","relStatText","raceAAPI","raceBlack","raceLatinx","raceNAAI","raceMENA","raceWhite","raceNA","religion","politics","international","poliDQVC","poliDQMC","poliDQSC","poliDQCent","poliDQSL","poliDQML","poliDQVL","ageDQ18","ageDQ19","ageDQ20","ageDQ21","ageDQ22","ageDQ23_25","ageDQ26plus","raceDQAAPI","raceDQBlack","raceDQLatinx","raceDQNAAI","raceDQMENA","raceDQWhite","religionDQ1","religionDQ2","religionDQ3","religionDQ4","religionDQ5","religionDQ6","religionDQ7","religionDQ8","religionDQ9","religionDQ10","religionDQ11","internationalDQDom","internationalDQInt","idealAffectionComp","idealAmbitionComp","idealArtisticComp","idealDispositionComp","idealFamilyComp","idealHealthComp","idealHumorComp","idealIntelligentComp","idealKindComp","idealParentingComp","idealPhysattComp","idealReligiousComp","idealResourcesComp","idealSexyComp","idealStatusComp","selfAffectionateComp","selfAmbitionComp","selfArtisticComp","selfDispositionComp","selfFamilyComp","selfHealthComp","selfHumorComp","selfIntelligentComp","selfKindComp","selfParentingComp","selfPhysattComp","selfReligiousComp","selfResourcesComp","selfSexyComp","selfStatusComp","mPIN"
"f24363334",19,0,3,NA,0,NA,1,"",NA,NA,NA,NA,NA,1,NA,12,2,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,7,10,7,6,7,6,7,6,6.5,6,5,5,5.5,5.5,6,6.5,10,6,6,8.5,6,5.5,4.5,6.5,5.5,5,4,5.5,5,5,"f24147575"
"f24223793",18,0,1,NA,0,NA,1,"",NA,1,NA,NA,NA,1,NA,11,6,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,7,7,6.5,5,5,5,7,8,6.5,7,6,2,5.5,6.5,7.5,5.5,7.5,7,5,6,4,8,9,5.5,6,5,1,5.5,5.5,7.5,"f24434064"
"f24655853",21,0,1,NA,0,NA,1,"",NA,NA,NA,NA,NA,1,NA,10,7,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,9,9,5,7,5,4.5,6,8,7,7.5,8,2,6,7.5,7,9,9.5,5,7,8.5,4.5,8,8,7,7.5,7,0,6.5,6,8,"f24377898"
"f24627858",20,0,1,NA,0,NA,1,"",NA,NA,1,1,NA,NA,NA,11,7,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,9,9.5,9,8.5,5,6,8,8.5,7,8,8,0.5,9.5,10,5,9.5,9.5,9.5,8,6,6,6.5,6.5,9.5,9.5,8.5,1.5,7,9.5,6,"f2446105"
"f2447103",18,0,3,NA,0,NA,1,"",NA,1,NA,NA,NA,NA,NA,1,6,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,5,3.5,1.5,1.5,3,4.5,8.5,5,3.5,2.5,5,3.5,6.5,5,2.5,1.5,5.5,4,4.5,4.5,7.5,6.5,6,4.5,0,8,2,7,7,6.5,"f24756874"
"f24930645",18,0,1,NA,0,NA,1,"",1,NA,NA,NA,NA,NA,NA,9,7,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,5.5,5.5,5,7,5,6,7,6,7.5,5,6,2.5,5.5,5,6.5,5.5,8,7,5,4.5,6,8,6.5,7.5,6,5.5,0,7,5,8.5,"f24242475"
"f24863445",20,0,3,NA,0,NA,1,"",NA,1,NA,NA,NA,1,NA,11,7,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,5,5,6,5,5,5,5.5,7,9,6,7,0,5,6,6,4,5.5,6.5,5,9,7.5,6.5,9,9,7.5,6.5,0,5,5.5,8,"f24713220"
"f24139249",22,0,1,NA,0,NA,2,"",NA,NA,NA,NA,NA,1,NA,5,7,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,6.5,4.5,4.5,6.5,5,8.5,6,6,8,5,6.5,3,3.5,7,6.5,6.5,6,3.5,9.5,8,10,7,6.5,6.5,6.5,7.5,5.5,7,8,6.5,"f24416224"
"f24180187",22,0,1,NA,0,NA,1,"",NA,NA,NA,NA,NA,1,NA,5,7,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,8.5,5.5,8,6.5,8,6,7,6,7.5,7.5,5,2.5,7,7,6.5,7,8,8.5,7,7.5,6.5,8.5,6.5,7.5,7,5,5,6.5,5.5,5,"f24498876"
"f24783827",21,0,1,NA,0,NA,1,"",1,NA,NA,NA,NA,1,NA,11,7,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,5.5,6.5,5.5,4,5,4.5,6.5,6,6.5,5,5,3,6,5.5,6.5,7,6.5,7,7,5.5,6,6.5,6,7,5,6,2.5,6,5,6,"f24544166"
